name,datetime,tempmax,tempmin,temp,humidity
delhi,29-07-2023,31,25.9,27.9,92.3
delhi,30-07-2023,33.9,26,29.7,82.9
delhi,31-07-2023,34.3,28,31.1,78.3
delhi,01-08-2023,35.4,28,31.4,74.7
delhi,02-08-2023,34.9,28,30.7,78.9
delhi,03-08-2023,35,27.2,30.6,81.3
delhi,04-08-2023,33.1,27,29.3,86.7
delhi,05-08-2023,33,26,29.5,88.3
delhi,06-08-2023,34.5,29,31.4,73.4
delhi,07-08-2023,33.2,28,30.3,70.7
delhi,08-08-2023,33.3,27,30.5,72.7
delhi,09-08-2023,33.4,28.1,30.8,69.7
delhi,10-08-2023,34.3,28,30.8,71
delhi,11-08-2023,34.8,28,31.3,66.4
delhi,12-08-2023,35,28,31.6,61.4
delhi,13-08-2023,34.2,28,30.9,65.7
delhi,14-08-2023,34.2,28,30.7,70
delhi,15-08-2023,33.2,27,30.1,80.5
delhi,16-08-2023,35.1,28.2,31.9,72.2
delhi,17-08-2023,35.9,29,32.2,63.8
delhi,18-08-2023,36.2,29,32.6,64
delhi,19-08-2023,34,25,30.3,84
delhi,20-08-2023,35.6,29,31.9,75.2
delhi,21-08-2023,36.9,29,32.6,74
delhi,22-08-2023,35.3,28,31.1,80.9
delhi,23-08-2023,28.9,27,27.6,92.4
delhi,24-08-2023,32.1,26,29.1,75.8
delhi,25-08-2023,34.4,26.7,30.4,68.1
delhi,26-08-2023,34.5,27,30.8,63.6
delhi,27-08-2023,35,27,30.9,58.5
delhi,28-08-2023,34.9,27,30.7,62.5
delhi,29-08-2023,35,27,31.5,61.5
delhi,30-08-2023,35.6,28,31.6,62.8
delhi,31-08-2023,35.7,27.4,31.9,61.7
